ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,tax_assessed_value,overpriced,date
4316 Halfe St,Alexandria,VA,22309,695000,589370.0,105630.0,2021-08-30
6219 Windham Hill Run,Alexandria,VA,22315,659900,577340.0,82560.0,2021-08-30
11348 Vale Rd,Oakton,VA,22124,799000,684620.0,114380.0,2021-08-30
5822 Cowling Ct,Alexandria,VA,22304,495000,457907.0,37093.0,2021-08-30
2421 Clover Field Cir,Herndon,VA,20171,549900,450150.0,99750.0,2021-08-30
12710 Thunder Chase Dr,Reston,VA,20191,749000,606690.0,142310.0,2021-08-30
10118 Dundalk St,Fairfax,VA,22032,659000,575110.0,83890.0,2021-08-30
3702 Mason St,Fairfax,VA,22030,639999,478100.0,161899.0,2021-08-30
14944 Greymont Dr,Centreville,VA,20120,537500,456980.0,80520.0,2021-08-30
2601 Schooley Dr,Alexandria,VA,22306,625000,422110.0,202890.0,2021-08-30
6335 Buffie Ct,Burke,VA,22015,484900,406060.0,78840.0,2021-08-30
4679 Charger Pl,Chantilly,VA,20151,679950,190000.0,489950.0,2021-08-30
4702 Major Ct,Alexandria,VA,22312,620000,547200.0,72800.0,2021-08-30
1722 Cy Ct,Vienna,VA,22182,725000,621180.0,103820.0,2021-08-30
6508 Koziara Dr,Burke,VA,22015,694900,607800.0,87100.0,2021-08-30
6654 Old Blacksmith Dr,Burke,VA,22015,749000,680270.0,68730.0,2021-08-30
7708 Baird Ct,Lorton,VA,22079,475000,418950.0,56050.0,2021-08-30
12313 Donaldson Ct,Fairfax,VA,22033,584000,517470.0,66530.0,2021-08-30
5831 New England Woods Dr,Burke,VA,22015,714888,600200.0,114688.0,2021-08-30
7231 Hillmead Ct,Springfield,VA,22150,445990,383900.0,62090.0,2021-08-30
4776 Farndon Ct,Fairfax,VA,22032,760000,627290.0,132710.0,2021-08-30
12701 Flagship Ct,Herndon,VA,20170,564900,505030.0,59870.0,2021-08-30
5808 Heming Ave,Springfield,VA,22151,669900,509330.0,160570.0,2021-08-30
6029 Heatherwood Dr,Alexandria,VA,22310,565000,499120.0,65880.0,2021-08-30
13608 Big Boulder Rd,Herndon,VA,20171,568000,497210.0,70790.0,2021-08-30
2476 Covered Wagon Ct,Herndon,VA,20171,669000,521050.0,147950.0,2021-08-30
10921 Spurlock Ct,Fairfax,VA,22032,739000,617410.0,121590.0,2021-08-30
6307 Glenbard Rd,Burke,VA,22015,649900,517540.0,132360.0,2021-08-30
3024 Seven Oaks Pl,Falls Church,VA,22042,615000,567540.0,47460.0,2021-08-30
5510 Talon Ct,Fairfax,VA,22032,475000,452100.0,22900.0,2021-08-30
8529 Parliament Dr,Springfield,VA,22151,649900,541580.0,108320.0,2021-08-30
4322 Excelsior Pl,Fairfax,VA,22030,709900,622600.0,87300.0,2021-08-30
6491 Powatan Knoll Ct,Alexandria,VA,22312,614900,537830.0,77070.0,2021-08-30
6851 Malton Ct,Centreville,VA,20121,469900,369290.0,100610.0,2021-08-30
4584 Barringer Pl,Fairfax,VA,22030,695000,576410.0,118590.0,2021-08-30
310 Old Dominion Ave,Herndon,VA,20170,659990,499350.0,160640.0,2021-08-30
512 N Madison St,Arlington,VA,22203,799999,746600.0,53399.0,2021-08-30
3601 Rose Ln,Annandale,VA,22003,735000,474560.0,260440.0,2021-08-30
4187 Lower Park Dr,Fairfax,VA,22030,714900,641810.0,73090.0,2021-08-30
2965 Covington Square Way,Fairfax,VA,22031,789900,701950.0,87950.0,2021-08-30
519 Aspen Dr,Herndon,VA,20170,615000,524710.0,90290.0,2021-08-30
7419 Spring Tree Dr,Springfield,VA,22153,479900,424210.0,55690.0,2021-08-30
6548 Parish Glebe Ln,Alexandria,VA,22315,599950,530040.0,69910.0,2021-08-30
4620 Willet Dr,Annandale,VA,22003,737000,624190.0,112810.0,2021-08-30
5325 Ringold Pl,Springfield,VA,22151,657900,529350.0,128550.0,2021-08-30
3541 Devon Dr,Falls Church,VA,22042,775000,632330.0,142670.0,2021-08-30
3200 Cambridge Ct,Fairfax,VA,22030,535000,482100.0,52900.0,2021-08-30
5921 Edgehill Dr,Alexandria,VA,22303,600000,515990.0,84010.0,2021-08-30
11900 Blue Spruce Rd,Reston,VA,20191,798000,662540.0,135460.0,2021-08-30
10925 Oakwood Dr,Fairfax,VA,22030,684999,571400.0,113599.0,2021-08-30
5820 Clapham Rd,Alexandria,VA,22315,710000,567230.0,142770.0,2021-08-30
11825 Vale Rd,Oakton,VA,22124,775000,695910.0,79090.0,2021-08-30
5291 Ballycastle Cir,Alexandria,VA,22315,649900,560450.0,89450.0,2021-08-30
6330 Dunman Way,Alexandria,VA,22315,639000,555860.0,83140.0,2021-08-30
8235 Walnut Ridge Rd,Fairfax Station,VA,22039,699900,644790.0,55110.0,2021-08-30
6324 Gun Cap Ct,Centreville,VA,20121,519900,443540.0,76360.0,2021-08-30
13180 Fox Hunt Ln,Herndon,VA,20171,659900,540630.0,119270.0,2021-08-30
8308 Central Ave,Alexandria,VA,22309,699000,469770.0,229230.0,2021-08-30
4601 Franconia Rd,Alexandria,VA,22310,500000,532130.0,-32130.0,2021-08-30
9103 Windflower Ln,Annandale,VA,22003,669900,616820.0,53080.0,2021-08-30
9056 Furey Rd,Lorton,VA,22079,670000,570420.0,99580.0,2021-08-30
10807 Verde Vista Dr,Fairfax,VA,22030,799999,655550.0,144449.0,2021-08-30
12411 Dorforth Dr,Fairfax,VA,22033,750000,596040.0,153960.0,2021-08-30
8609 Antioch Cir,Vienna,VA,22180,789900,606890.0,183010.0,2021-08-30
4686 Charger Pl,Chantilly,VA,20151,688950,190000.0,498950.0,2021-08-30
9437 Mirror Pond Dr,Fairfax,VA,22032,659000,534360.0,124640.0,2021-08-30
3324 Spring Ln,Falls Church,VA,22041,610000,533230.0,76770.0,2021-08-30
1725 Cy Ct,Vienna,VA,22182,690000,621870.0,68130.0,2021-08-30
5413 Littleford St,Springfield,VA,22151,643900,536270.0,107630.0,2021-08-30
3134 Elmendorf Dr,Oakton,VA,22124,765000,665460.0,99540.0,2021-08-30
7910 Double Creek Ct,Springfield,VA,22153,620000,527450.0,92550.0,2021-08-30
4313 Pickett Rd,Fairfax,VA,22032,745000,519460.0,225540.0,2021-08-30
7929 Central Park Cir,Alexandria,VA,22309,472000,376420.0,95580.0,2021-08-30
4657 Charger Pl,Chantilly,VA,20151,742950,190000.0,552950.0,2021-08-30
4653 Charger Pl,Chantilly,VA,20151,740950,190000.0,550950.0,2021-08-30
4651 Charger Pl,Chantilly,VA,20151,742950,190000.0,552950.0,2021-08-30
4647 Charger Pl,Chantilly,VA,20151,746950,190000.0,556950.0,2021-08-30
4655 Charger Pl,Chantilly,VA,20151,795950,190000.0,605950.0,2021-08-30
4649 Charger Pl,Chantilly,VA,20151,655950,190000.0,465950.0,2021-08-30
4733 Lacey Manor Pl,Chantilly,VA,20151,740950,190000.0,550950.0,2021-08-30
4674 Charger Pl,Chantilly,VA,20151,684950,190000.0,494950.0,2021-08-30
4680 Charger Pl,Chantilly,VA,20151,681950,190000.0,491950.0,2021-08-30
